year,site,catch,runoff_mm,sed_kgha,tn_kgha,tp_kgha,no3_kgha,sed_mgL,tn_mgL,tp_mgL,no3_mgL
2013,I,3,129.6550821,23769.61265,.,.,.,.,.,.,.
2013,W,1,78.00005655,890.075079,.,.,.,.,.,.,.
2013,W,2,48.11553616,520.4717958,.,.,.,.,.,.,.
2013,W,3,238.7060535,17955.81343,.,.,.,.,.,.,.
2014,B,1,44.6005132,.,.,.,.,.,.,.,.
2014,B,2,57.38228646,.,.,.,.,.,.,.,.
2014,B,3,102.3124699,.,.,.,.,.,.,.,.
2014,B,4,162.2991634,.,.,.,.,.,.,.,.
2014,B,5,69.22815795,.,.,.,.,.,.,.,.
2014,B,6,141.8911723,.,.,.,.,.,.,.,.
2014,I,1,53.4176414,.,.,.,.,.,.,.,.
2014,I,2,34.75123748,.,.,.,.,.,.,.,.
2014,I,3,152.5351871,.,.,.,.,.,.,.,.
2014,W,1,72.91896203,.,.,.,.,.,.,.,.
2014,W,2,25.60883352,.,.,.,.,.,.,.,.
2014,W,3,33.62669537,.,.,.,.,.,.,.,.
